Name;Hours without subtasks;Hours with subtasks
          Testovanie zvysovanie Dynamic Range;1h 43m;1h 43m
     General;-;25h 40m
          Meeting - ILC / Chovan;6h 32m;7h 5m
               Priprava meetingu;33m;33m
          Mail Chovanovi;3h 5m;3h 5m
          Meeting - ITR / FFT issues;58m 56s;2h 37m
               zapis z meetingu;1h 38m;1h 38m
          Aktualny stav ulohy - neuspesne testovanie;2h 33m;2h 33m
          Preklopenie do Projectu;2h 21m;2h 21m
          Priprava na meeting - ITR / FFT issues;1h 39m;1h 39m
          Studium - depolarizacia zdroja;1h 28m;1h 28m
          Mail do O-Eland;1h 23m;1h 23m
          Research Pump laser + EDFA zdrojov;1h 5m;1h 5m
          Mail - stav ulohy;49m 39s;49m 39s
          Mail Bramovi;30m 33s;30m 33s
          objednavka Depol;20m 25s;20m 25s
          Mail - Marek / Plevi;17m 48s;17m 48s
          Mail - Testovanie FSG;10m 41s;10m 41s
          Stav - Talk Peto;7m 13s;7m 13s
          Stav ulohy - eway;3m 48s;3m 48s
     Design;-;5h 11m
          Definicia uloh - Jardo;3h 59m;3h 59m
          Mail;1h 12m;1h 12m
Avago;-;96h 8m
     R&D Projects;-;96h 8m
          1742 - Low cost ITR;-;83h 3m
               Testing & Evaluation;-;63h 25m
                    Testovanie - Sylex;48m;47h 49m
                         Vyhodnotenie Test #1 a #3;8h 27m;15h 37m
                              Priprava preliminary report;5h 10m;5h 10m
                              Priprava grafov;1h 32m;1h 32m
                              Vysledky - Jardo;15m 33s;15m 33s
                              Priprava udajov pre Dawida;11m 33s;11m 33s
                         Priprava 2. reportu;11h 23m;15h 27m
                              Doplnenie WL do reportu;1h 45m;1h 45m
                              Check reportu;1h 18m;1h 18m
                              Vyhodnotenie vysledkov;43m 8s;43m 8s
                              Check nakladov / Peto;17m 25s;17m 25s
                         Nastavenie test #1;9h 9m;9h 9m
                         Meeting - Avago;4h 2m;4h 2m
                         Prehlad testov;54m 15s;54m 15s
                         Vlakna na MS-03 - Tomas, Ado;41m 19s;41m 19s
                         Test interrogatora;34m 12s;34m 12s
                         Diskusia - Dawid;18m 20s;18m 20s
                         Test # 3;16m 24s;16m 24s
                    Testovanie - kalibracia strain;7h 34m;10h 28m
                         Porovnanie MOI vs. Avago;1h 14m;1h 14m
                         Instalacia SW;1h 6m;1h 6m
                         Mail do Avaga;33m 18s;33m 18s
                    Test #2;2h 8m;2h 8m
                    Nastavenie komory;1h 38m;1h 38m
                    Nastavenie test #2;1h 20m;1h 20m
               Design;-;12h 16m
                    dohodnut s Avago plan testov;5h 21m;6h 17m
                         Meeting - Peto;44m 7s;44m 7s
                         Talk - Peto;8m 39s;8m 39s
