Name;Hours without subtasks;Hours with subtasks
||Ulohy na 2016;0.87;23.03
|||Zber udajov;22.17;22.17
|TRL, TPL;139.00;476.00
||TRL, TPL - Tomas;130.00;130.00
||Studovanie dokumentov;120.00;120.00
||TRL,TPL Meeting - Tomas / Gabo / Edo / Peto;86.00;86.00
|Edo - meeting;137.00;137.00
|Meeting - Edo / Peto / Tomas;81.00;81.00
TOOZ;0.00;5564.00
|Projects;0.00;5377.00
||1609 - Podbiel;91.00;5377.00
|||Evaluation;0.00;2349.00
||||Vyhodnotenie prvych merani - WL to strain;809.00;1491.00
|||||Testovanie MS-03 - bending strain;196.00;226.00
||||||Testovanie MS-03 / SG-01 / MS-02 bending strain;30.00;30.00
|||||Meeting - SjF - Analyza vysledkov;130.00;130.00
|||||Diskusia - Tomas / MAto;109.00;109.00
|||||Pridanie novych udajov;75.00;75.00
|||||Averaging reportu;68.00;68.00
|||||Rekonfiguracia snimacov;38.52;38.52
|||||Diskusia - Tomas / Mato;19.37;19.37
|||||Export udajov - Tomas;14.75;14.75
||||Analyza Maj 2016;0.00;759.00
|||||Referencovanie VDV;0.00;391.00
||||||Vytvorenie .dat suboru;391.00;391.00
|||||Referencovanie - Sentinel;1.28;115.00
||||||Update definicneho suboru;114.00;114.00
|||||Export uajov - cely mesiac;58.03;104.00
||||||Generovanie reportu;46.23;46.23
|||||VDV - referencovanie / research moznosti;53.52;53.52
|||||Diskusia - Tomas;35.02;35.02
|||||Talk - Tomas - detaily;33.33;33.33
|||||Export udajov - obmedzena rychlost;27.12;27.12
||||Analyza Jul 2016;0.00;51.12
|||||Export udajov - cely mesiac;51.12;51.12
||||Analyza Jun 2016;0.00;47.13
|||||Export udajov - cely mesiac;47.13;47.13
|||Production;0.00;1265.00
||||VDV;0.00;776.00
|||||Konfiguracia VDV / Marek skolenie;236.00;469.00
||||||WL txt to VDV db;43.72;148.00
|||||||Modifikacia udajov;105.00;105.00
||||||Uprava WL a Sensor txt suborov;84.00;84.00
|||||Vytvorenie Dashboard;97.00;97.00
|||||Nastavenie konta;86.00;86.00
|||||Virtual variables;80.00;80.00
|||||Alert a Warning nastavenia;43.23;43.23
||||Konficguracia Sentinel;461.00;461.00
||||Instalacia S-line Sentinel;16.67;16.67
||||Modem interrogatora + check merania;11.10;11.10
|||Maintenance;0.00;975.00
||||Vyjazd na Podbiel;491.00;491.00
||||Kontrola Spectrum na S-Line Scan;337.00;337.00
||||Priprava na vyjazd;79.00;79.00
||||Restart pocitaca;44.42;44.42
||||Diskusia - Jaro;24.00;24.00
|||Design;0.00;625.00
||||Debrecen - instalacna skrina;615.00;615.00
||||Diskusia - Jaro - regulacia napatia;10.00;10.00
|||General;0.00;69.00
||||Meeting - Tomas / Synak;59.00;59.00
||||skenovanie;10.95;10.95
|Misc;0.00;186.00
||Analyza nakladov;117.00;186.00
|||Talk - Peto;58.00;58.00
|||Mail;11.02;11.02
Studium;0.00;5551.00
|Microsoft Project;0.00;1742.00
||Lynda.com - skolenie;1435.00;1435.00
||Lynda.com - Managing Project Risk;306.00;306.00
|Nove publikacie;317.00;1194.00
||Bridge monitoring;519.00;519.00
||Search;318.00;318.00
||Fiber optic borehole seismic vector;39.03;39.03
|HBM Webinar;137.00;628.00
||Experimental stress analysis;213.00;213.00
||Studium - HBM dokument - Tunnel;101.00;101.00
||Optical sensing webinar;53.02;53.02
||Fatigue life testing;51.58;51.58
||Force measurement;39.00;39.00
||Optical interrogator;32.47;32.47
|Monitorovanie mostov;494.00;494.00
|research - konkurencia;184.00;387.00
||Smartec;0.00;109.00
|||Porovnanie SOFO lite vs. Scan 400;109.00;109.00
||Fiber optic firmy;64.00;64.00
||Measurand - ShapeAccelArray;29.00;29.00
|Lynda.com - Linux kurzy;305.00;305.00
|Lynda.com - Advanced Microsoft Project;292.00;292.00
|Webinar;0.00;150.00
||LFW AFL distributed sensing;90.00;90.00
||Smartec - 20 years of SHM;41.55;41.55
||Smartec - SOFO Lite;19.12;19.12
|Lynda.com - JIRA;93.00;93.00
|Sensuron - Strain measurement;65.00;65.00
|Synaptec clanok;57.93;57.93
|Technica SA clanok;39.75;39.75
|ISHMII Journal;28.80;28.80
|Noria - LFW clanok;23.92;23.92
|ICE manual of Geotechnical engineering;21.00;21.00
|Lynda.com - Agile Project Management;18.87;18.87
|EDN Eurpoe;5.77;5.77
Organizacia mailov;1023.00;4918.00
|Citanie mailov;3894.00;3894.00
Osterbaai;0.00;4151.00
|Projects;0.00;3826.00
||1667 - Den Helder;202.00;3633.00
|||Maintenance;0.00;3339.00
||||Network repair;1475.00;1859.00
|||||rekonfiguracia s-line scan;115.00;115.00
|||||Kontrola def suboru;95.00;95.00
|||||Update def suboru;81.00;81.00
|||||Konfiguracia noveho ITR;55.00;55.00
|||||Check intenzit WL;36.67;36.67
||||Konfiguracia Sentinel - vymazanie probl. peakov;228.00;444.00
|||||Check nastaveni;185.00;185.00
|||||Mail Hilkovi;30.00;30.00
||||Kontrola nastavenia snimacov;396.00;439.00
|||||Vymazanie chybnych snimacov;24.93;24.93
|||||Stav snimacov - Tomas;17.95;17.95
||||Mail - Hilko - nastavenie snimacov;196.00;196.00
||||Mail - Hilko - kontrola snimacov;58.25;58.25
||||Mail - Stav snimacov - Hilko;50.00;50.00
||||Phone call - Hilko / Tomas;42.83;42.83
||||Nastavenie mailov - Hilko;40.48;40.48
||||Meeting - oprava interogatora;40.00;40.00
||||Diskusia - Tomas;39.82;39.82
||||Konfiguracia noveho interogatora;28.37;28.37
||||Topologia - Tomas;27.15;27.15
||||Testovanie interogatora;20.73;20.73
||||Diskusia problemy - Peto;18.40;18.40
||||Diskusia - interrogator fail - Peto / Tomas / Ado;18.00;18.00
||||Diskusia - termin instalacie;15.70;15.70
|||General;0.00;92.00
||||Mail - Hilko - microstrain problem;51.53;51.53
||||Mail - Hilko - Maintenance casy;28.52;28.52
||||Mail - Peto, Tomas;12.22;12.22
||Vibration testing;0.63;192.00
|||Analyza udajov;71.00;170.00
||||Kodenie makra;85.00;85.00
||||Analyza udajov pomocou makra;12.55;12.55
|||Vibration sensors;21.87;21.87
|Maintenance;0.00;266.00
||Sentinel manual - Hilko;196.00;196.00
||SW otazky od Hilka - Tomas;35.52;35.52
||Konfguracia Sentinel;30.00;33.92
|||Problem so sietou - Marek;3.92;3.92
|Misc;0.00;58.88
||campbell scientific riesenie;58.88;58.88
FOI;0.00;3406.00
|Vypomoc vo vyrobe - FOI;2743.00;2743.00
|Barcode;0.00;410.00
||Zistovanie problemu;3.33;318.00
|||Testovanie softu;315.00;315.00
||Meeting;62.00;62.00
||Talk - Tomas;28.43;28.43
|Meeting s Marianom;73.00;73.00
|Prenasanie novych regalov;66.00;66.00
|Organizacia - vypomoc - Meranie - meeting s Petom;55.22;55.22
|Help Edovi v Projecte;51.00;51.00
|Breakout makro;8.38;8.38
GSM 2016;0.00;3252.00
|Ucast na GSM 2016;1800.00;1800.00
|Priprava materialov;435.00;1318.00
||Poppi - MS-03;412.00;726.00
|||Tvorba textu;264.00;264.00
|||Uprava;30.13;30.13
|||Talk - Peto;19.30;19.30
||Poppi - Profil;84.00;84.00
||Odpoved Johnovi;45.53;45.53
||Phone call - Peto;19.12;19.12
||Datasheet;7.65;7.65
|Nastavenie Sentinelu;65.00;122.00
||Otestovanie konfiguracneho suboru;56.87;56.87
|Diskusia - Tomas;12.00;12.00
1439 - Polyimide FFT;0.00;2832.00
|Design;0.00;2392.00
||Specifikacia standardnych vlnovych dlzok;153.00;2214.00
|||Nova specka WL;562.00;1336.00
||||Prerobenie sablony podla novych poziadaviek;623.00;636.00
|||||Diskusia - Ado;13.00;13.00
||||Finalizacia - Ado / Peto / Tomas;64.00;64.00
||||Diskusia - Peto;24.75;24.75
||||Custom zadanie;23.22;23.22
||||Finalizacia - Ado;14.00;14.00
||||Phone call - Tomas;11.28;11.28
|||Re-check vsetkych WL;168.00;289.00
||||Porovnanie teoretickych a realnych WL;108.00;108.00
||||Kontrola PN vlakien;11.68;11.68
|||Diskusia Peto / Gabo;179.00;179.00
|||Diskusia Peto / Tomas / Gabo;83.00;83.00
|||Diskusia Peto / Tomas / Gabo;78.00;78.00
|||D-01 standardne WL;64.00;64.00
|||Tomas - check definovanych WL;30.62;30.62
||Transformer temperature monitoring;0.00;156.00
|||Mail - Petovi;70.00;70.00
|||Phone call - Magnus + diskusia s Petom;65.00;65.00
|||Snimacia siet - Marek;13.15;13.15
|||vzorky pre Avago;7.32;7.32
||Spektrum FFT;21.42;21.42
|Testing & Evaluation;0.00;226.00
||Vyhodnotenie noveho BI vlakna;46.22;226.00
|||Tomasov mail;173.00;173.00
|||Diskusia ohladom polarizacie - Tomas;7.00;7.00
|General;0.00;213.00
||Priprava na meeting s Margarethe;157.00;157.00
||Diskusia - Tomas - Variabilita parametrov FFT mriezok;31.00;31.00
||Mail od Margarethe;24.90;24.90
Inversion sensor;0.00;2652.00
|Projects;0.00;2254.00
||1776 - Displacement sensors;0.00;1788.00
|||Evaluation;0.00;1380.00
||||Vyhodnotenie kalibracie;199.00;1380.00
|||||Kalibracia novych kusov;247.00;377.00
||||||Vypocet predlzenia kalibrov;129.00;129.00
|||||Vyvoj novej metody;145.00;197.00
||||||Doplnenie verifikacnych cyklov;26.68;26.68
||||||Doplnenie udajov;19.43;19.43
||||||Doplnenie kalibrov;5.87;5.87
|||||Prerabka logovacich suborov;141.00;141.00
|||||Diskusia - Tomas;136.00;136.00
|||||Overovacie cykly;96.00;96.00
|||||Prerabka teplotnych kalibracii;85.00;85.00
|||||Vypocet predlzenia kalibrov;73.00;73.00
|||||Overenie kalibracie;34.18;34.18
|||||Kompenzacia roztaznosti kalibrov;22.28;22.28
|||||Rekalibracia na rigu - Plevi;15.13;15.13
|||Production;0.00;240.00
||||Vytvorenie kalibracnych listov - Marek;125.00;125.00
||||Kalibracia snimacov - Plevi;88.00;88.00
||||Nastavenie komory - kalibracia - Marek / Tomas;26.00;26.00
|||Design;0.00;119.00
||||Kalibracna sablona;68.00;68.00
||||Vyroba D-01 a MS-01 FFT;34.32;34.32
||||D-0x;0.00;16.12
|||||Check WL range;16.12;16.12
|||General;0.00;48.00
||||Diskusia - Tomas / Marek;48.00;48.00
||1723 - MS-01 / D-01;0.00;466.00
|||Evaluation;0.00;466.00
||||Vyhodnotenie kalibracii;226.00;466.00
|||||Vypocet predlzeni;98.00;98.00
|||||Overenie strainovej kalibracie;84.00;84.00
|||||Check kalibracnych listov;37.02;37.02
|||||Diskusia - Tomas;15.00;15.00
|||||Overenie kalibracnych udajov;5.77;5.77
|Misc;0.00;240.00
||Check kalibracnych listov;183.00;183.00
||Zlomene MS-01;47.00;57.00
|||Talk - Tomas;10.00;10.00
|Maintenance;0.00;157.00
||Kalibracia MS-01 - Problem - Plevi;157.00;157.00
1459 - Testy membran tlakovych snimacov;0.00;2514.00
|Design;0.00;1995.00
||Koncepty transducerov - meeting Mato;270.00;1995.00
|||Priprava prezentacie;707.00;801.00
||||Studium - geotechnicke pojmy;70.00;70.00
||||Studium - strain-stress;24.25;24.25
|||Piezometer - studium;472.00;472.00
|||Studium - Load cell koncepty;366.00;366.00
|||Nove technologie FBG;58.73;58.73
|||Peto - transducery;25.97;25.97
|Testing & evaluation;0.00;366.00
