Hours without subtasks;Hours with subtasks
26m 2s;26m 2s
24m 29s;24m 29s
-;8h
-;5h 9m
1h 9m;1h 9m
58m 21s;58m 21s
53m 22s;53m 22s
52m 50s;52m 50s
43m 43s;43m 43s
32m 24s;32m 24s
-;1h 45m
-;1h 27m
-;1h 27m
56m 33s;56m 33s
31m 2s;31m 2s
-;17m 41s
-;17m 41s
17m 41s;17m 41s
-;1h 5m
1h 5m;1h 5m
-;6h 51m
3h 49m;3h 49m
1h 15m;1h 15m
1h 10m;1h 10m
22m 39s;22m 39s
15m;15m
-;6h 26m
-;6h 26m
-;3h 24m
-;2h 6m
1h 51m;1h 51m
15m 31s;15m 31s
-;1h 17m
-;1h 17m
1h 17m;1h 17m
-;3h 1m
-;2h 35m
1h 34m;1h 34m
55m 5s;55m 5s
6m 6s;6m 6s
-;26m
26m;26m
-;5h 15m
-;4h 2m
2h 5m;2h 5m
23m 2s;1h 8m
26m 23s;26m 23s
9m 45s;9m 45s
9m 39s;9m 39s
40m 10s;40m 10s
7m 55s;7m 55s
-;1h 13m
-;38m 42s
38m 42s;38m 42s
-;34m 28s
34m 28s;34m 28s
1h 48m;4h 55m
-;3h 6m
1h 45m;1h 45m
1h;1h 21m
20m 37s;20m 37s
-;4h 35m
-;3h 8m
-;3h 8m
-;2h 15m
1h 32m;1h 32m
43m 20s;43m 20s
-;53m 18s
53m 18s;53m 18s
-;1h 26m
1h 26m;1h 26m
-;4h 19m
3h;3h
1h 13m;1h 13m
6m 15s;6m 15s
-;4h 6m
-;4h 6m
4h 6m;4h 6m
-;3h 50m
-;3h 20m
2h 27m;2h 27m
52m 40s;52m 40s
30m;30m
-;3h 47m
-;3h 47m
3h 47m;3h 47m
-;3h 28m
10m 39s;2h 32m
57m 9s;57m 9s
50m 45s;50m 45s
33m 33s;33m 33s
-;56m
28m 36s;56m
27m 24s;27m 24s
-;3h 19m
-;3h 19m
2h 27m;2h 27m
51m 3s;51m 3s
3h 6m;3h 6m
-;2h 52m
-;2h 52m
-;2h 52m
2h 52m;2h 52m
2h 47m;2h 47m
-;2h 24m
2h 24m;2h 24m
